Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
08/10/2018,"47 Orwell Hall, Blcok C, Marianella",Dublin,,"€365,638.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,53.33306,-6.24889
14/06/2018,"APT 5, CLUAIN AOIBHINN COURT, SWELLAN",Cavan,,"€91,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.99083,-7.36056
16/03/2018,"11 SLI NA GCAPAILL, BALLYMORE, CRAUGHWELL",Galway,,"€196,035.24",No,No,Second-Hand Dwelling house /Apartment,,53.22611,-8.73306
29/01/2018,"36 CARYSFORT AVENUE, BLACKROCK, CO DUBLIN",Dublin,,"€870,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2999136,-6.178995
08/11/2018,"18 GLENDALE LAWN, CHILDERS RD, LIMERICK",Limerick,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
03/07/2018,"ROBINS OAK, 3 WESTFIELD COURT, NORTH CIRCULAR RD",Limerick,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
29/03/2018,"4 HOTEL STREET, TINNAHINCH, COUNTY CARLOW",Carlow,,"€102,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.5390851,-6.9522024
23/10/2018,"4 DUN AOIBHINN, DUNGARVAN, CO WATERFORD",Waterford,,"€86,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.08806,-7.62528
18/07/2018,"8 MONASTERY HEATH SQ, CLONDALKIN, DUBLIN 22",Dublin,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3214389,-6.3820936
19/10/2018,"37 CLONTURK PARK, DUBLIN 9, DUBLIN",Dublin,,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3689138,-6.2517185
15/02/2018,"4 Castlegrange Lawn, Castlegrange, Castleheany",Dublin,,"€290,748.89",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
05/09/2018,"MILLCOVE HOUSE, MODEL FARM RD, CORK",Cork,,"€925,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
07/06/2018,"13 The Avenue, Crawford Woods, Church Hill",Cork,,"€317,180.61",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,51.89797,-8.47061
12/01/2018,"267 MALAHIDE MARINA VILLAGE, MALAHIDE, DUBLIN",Dublin,,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4543436,-6.1557158
27/04/2018,"BARRADERRY, KILTEGAN, WICKLOW",Wicklow,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.90111,-6.60722
07/09/2018,"45 BISHOP COURT, NEWCASTLE WEST, LIMERICK",Limerick,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.4543945,-9.0589803
17/10/2018,"42 THE RISE, KNOCKNACARRA, GALWAY",Galway,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2661715,-9.1103785
05/10/2018,"2 MACROOM AVENUE, COOLOCK, DUBLIN 17",Dublin,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
14/08/2018,"2 AN DOIRIN GREEN ST DINGLE, KERRY",Kerry,,"€174,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.1417628,-10.2699775
