Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
11/05/2022,"8 Westmill Green, Millers Glen, Swords",Dublin,K67F6X3,"€317,180.61",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
28/04/2022,"GLENHEATHER, BRENNANSTOWN RD, CARRICKMINES DUBLIN 18",Dublin,D18X0Y5,"€2,280,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2571562,-6.1684594
02/09/2022,"29 LA ROCHELLE, ROSSLARE HARBOUR, CO WEXFORD",Wexford,Y35FK73,"€267,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.2480421,-6.3422009
03/08/2022,"BARRYMORE, KILTOOM, ATHLONE",Roscommon,N37Y172,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.63333,-8.18333
04/07/2022,"18 The Green, The Hawthorns, Arden Road",Offaly,,"€303,964.76",No,Yes,New Dwelling house /Apartment,,53.2686568,-7.4984017
15/07/2022,"5 BEVERTON MEADOWS, DONABATE, DUBLIN",Dublin,K36CC93,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4899244,-6.1587189
27/10/2022,"DUNMAHON, GLANWORTH, COUNTY CORK",Cork,,"€42,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.1975236,-8.3214866
30/05/2022,"KILLURAGH, CAPPAMORE, LIMERICK",Limerick,V94TDE7,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.592976,-8.3279383
14/12/2022,"18 ARDKEALE, MOUNT OVAL VILLAGE, ROCHESTOWN",Cork,T12K49X,"€364,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.87,-8.38306
12/12/2022,"8 WOODVALE, ROSSYLONGAN, DONEGAL TOWN",Donegal,F94X2C0,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.91667,-8.0
