Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
25/05/2018,"9 GLANDORE AVE, BLACKROCK, CORK",Cork,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.8964828,-8.4150577
19/01/2018,"APARTMENT 2 PARK HEIGHTS, MACROOM, CORK",Cork,,"€60,800.00",No,No,Second-Hand Dwelling house /Apartment,,51.9,-8.95
12/10/2018,"TULLAGHANROCK, EDMONSTOWN, BALLAGHADEREEN",Roscommon,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.63333,-8.18333
05/04/2018,"32 KENNYSWELL RD, KILKENNY, KILKENNY",Kilkenny,,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.65417,-7.25222
30/10/2018,"15 WATERSIDE LANE, STRANDHILL, SLIGO",Sligo,,"€307,500.00",No,No,Second-Hand Dwelling house /Apartment,,54.2725731,-8.5822972
21/09/2018,"APT 3 BLOCK 3, COLLEGE FARM RISE, NEWBRIDGE",Kildare,,"€138,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.18194,-6.79667
19/12/2018,"32 FERNLEIGH DR, CASTLEKNOCK, DUBLIN CITY",Dublin,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
06/12/2018,"3 ALLENDALE VIEW, CLONSILLA, DUBLIN 15",Dublin,,"€276,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
21/09/2018,"48 SALLINS PIER, SALLINS, NAAS",Kildare,W91RW94,"€45,741.10",Yes,No,Second-Hand Dwelling house /Apartment,,53.245546,-6.672723
24/10/2018,"68 The Rise, Meadowvale, Knockenrahan Upper",Wicklow,,"€223,986.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.0,-6.41667
23/05/2018,"Ballinamona, CAMPILE, WEXFORD",Wexford,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.28917,-6.94139
22/06/2018,"98 MCHALE ROAD, CASTLEBAR, COUNTY MAYO",Mayo,,"€62,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.8518498,-9.2888719
14/06/2018,"10 WESLEY COURT, WILLIAM ST, KILKENNY",Kilkenny,,"€84,849.66",No,No,Second-Hand Dwelling house /Apartment,,52.65417,-7.25222
20/12/2018,"8 PORTSIDE, ROSSLARE HARBOUR, WEXFORD",Wexford,,"€142,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2470768,-6.3393717
03/09/2018,"28 ARDMORE LAWN, BRAY, WICKLOW",Wicklow,,"€451,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.1962182,-6.1185037
06/04/2018,"CRUSH, CARRICKROE, MONAGHAN",Monaghan,,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.35694,-7.02778
14/06/2018,"18 ST COLUMBAS RD, GREENHILLS, DUBLIN 12",Dublin,,"€361,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
04/01/2018,"65 CHRISTCHURCH VIEW, NICHOLAS ST, DUBLIN 8",Dublin,,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
