Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
02/09/2024,"30 ORCHARD RISE, CARRIGALINE, CO CORK",Cork,P43Y050,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.8094676,-8.3949199
10/04/2024,"9B THE MOORINGS, ROSSBERCON, NEW ROSS",Wexford,Y34D654,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.39667,-6.93667
31/01/2024,"17A BURROW RD, SUTTON, DUBLIN 13",Dublin,D13Y1F9,"€1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3917641,-6.1043078
27/03/2024,"55 Barleyfields, Whitechurch, Cork",Cork,,"€387,665.00",No,Yes,New Dwelling house /Apartment,,51.98139,-8.51389
23/04/2024,"APT 22, CLUAIN AOIBHINN COURT, SWELLAN",Cavan,,"€169,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.99083,-7.36056
24/01/2024,"259 Station Walk, Rickardstown, Newbridge",Kildare,,"€374,449.33",No,Yes,New Dwelling house /Apartment,,53.18194,-6.79667
30/08/2024,"97 FOXLODGE MANOR, RATOATH, MEATH",Meath,A85Y578,"€612,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.50806,-6.4625
04/10/2024,"CARRENROD, TASKEY, SLIGO",Sligo,,"€106,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
19/01/2024,"MAGHERACAR, WEST END, BUNDORAN",Donegal,,"€112,500.00",No,No,Second-Hand Dwelling house /Apartment,,54.47782,-8.28094
27/09/2024,"RIVENDELL, BALLYMANUS LOWER, GLENEALY",Wicklow,A67TR50,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.96222,-6.14583
11/07/2024,"10 THE MEADOWS, OAKVIEW VILLAGE, OAKPARK",Kerry,V92C8VC,"€272,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.16667,-9.75
04/12/2024,"28 DUN OIR AVENUE, GLENAMUCK ROAD, KILTERNAN",Dublin,,"€638,700.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
21/06/2024,"30 BROOKFORD, RUSH, DUBLIN",Dublin,K56AR24,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5250973,-6.1049213
28/11/2024,"19 Haven Way, Harbour Heights, Rochestown Road",Cork,,"€427,312.77",No,Yes,New Dwelling house /Apartment,,51.89797,-8.47061
30/09/2024,"APT 20, STERLING SQUARE, CLONEE",Meath,D15E24D,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4106199,-6.4404061
30/04/2024,"2B SILVER ST, NENAGH, TIPPERARY",Tipperary,E45V443,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.8623613,-8.2004285
